[1981, 'Australia', 'New Zealand', 'Sydney', 'ODI # 110', 'Draw', 'Draw', 'Jan 21, 1981', 65314]
[1981, 'Australia', 'New Zealand', 'Sydney', 'ODI # 111', 'New Zealand', '78 runs', 'Jan 29, 1981', 65315]
[1981, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 112', 'Australia', '7 wickets', 'Jan 31, 1981', 65316]
[1981, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 113', 'Australia', '6 runs', 'Feb 1, 1981', 65317]
[1981, 'Australia', 'New Zealand', 'Sydney', 'ODI # 114', 'Australia', '6 wickets', 'Feb 3, 1981', 65318]
[1981, 'West Indies', 'England', 'Kingstown', 'ODI # 115', 'West Indies', '2 runs', 'Feb 4, 1981', 64176]
[1981, 'New Zealand', 'India', 'Auckland', 'ODI # 116', 'New Zealand', '78 runs', 'Feb 14, 1981', 64177]
[1981, 'New Zealand', 'India', 'Hamilton', 'ODI # 117', 'New Zealand', '57 runs', 'Feb 15, 1981', 64178]
[1981, 'West Indies', 'England', 'Albion', 'ODI # 118', 'West Indies', '6 wickets', 'Feb 26, 1981', 64179]
[1981, 'England', 'Australia', "Lord's", 'ODI # 119', 'England', '6 wickets', 'Jun 4, 1981', 64969]
[1981, 'England', 'Australia', 'Birmingham', 'ODI # 120', 'Australia', '2 runs', 'Jun 6, 1981', 64970]
[1981, 'England', 'Australia', 'Leeds', 'ODI # 121', 'Australia', '71 runs', 'Jun 8, 1981', 64971]
[1981, 'Pakistan', 'West Indies', 'Melbourne', 'ODI # 122', 'West Indies', '18 runs', 'Nov 21, 1981', 65319]
[1981, 'Australia', 'Pakistan', 'Melbourne', 'ODI # 123', 'Pakistan', '4 wickets', 'Nov 22, 1981', 65320]
[1981, 'Australia', 'West Indies', 'Sydney', 'ODI # 124', 'Australia', '7 wickets', 'Nov 24, 1981', 65321]
[1981, 'India', 'England', 'Ahmedabad', 'ODI # 125', 'England', '5 wickets', 'Nov 25, 1981', 64180]
[1981, 'Pakistan', 'West Indies', 'Adelaide', 'ODI # 126', 'Pakistan', '8 runs', 'Dec 5, 1981', 65322]
[1981, 'Australia', 'Pakistan', 'Adelaide', 'ODI # 127', 'Australia', '38 runs', 'Dec 6, 1981', 65323]
[1981, 'Australia', 'Pakistan', 'Sydney', 'ODI # 128', 'Pakistan', '6 wickets', 'Dec 17, 1981', 65324]
[1981, 'Pakistan', 'West Indies', 'Perth', 'ODI # 129', 'West Indies', '7 wickets', 'Dec 19, 1981', 65325]
[1981, 'Australia', 'West Indies', 'Perth', 'ODI # 130', 'West Indies', '8 wickets', 'Dec 20, 1981', 65326]
[1981, 'India', 'England', 'Jalandhar', 'ODI # 131', 'India', '6 wickets', 'Dec 20, 1981', 64181]
[1982, 'Australia', 'Pakistan', 'Melbourne', 'ODI # 132', 'Pakistan', '25 runs', 'Jan 9, 1982', 65327]
[1982, 'Australia', 'West Indies', 'Melbourne', 'ODI # 133', 'West Indies', '5 wickets', 'Jan 10, 1982', 65328]
[1982, 'Pakistan', 'West Indies', 'Sydney', 'ODI # 134', 'West Indies', '7 wickets', 'Jan 12, 1982', 65329]
[1982, 'Australia', 'Pakistan', 'Sydney', 'ODI # 135', 'Australia', '76 runs', 'Jan 14, 1982', 65330]
[1982, 'Pakistan', 'West Indies', 'Brisbane', 'ODI # 136', 'West Indies', '1 wicket', 'Jan 16, 1982', 65331]
[1982, 'Australia', 'West Indies', 'Brisbane', 'ODI # 137', 'West Indies', '5 wickets', 'Jan 17, 1982', 65332]
[1982, 'Australia', 'West Indies', 'Sydney', 'ODI # 138', 'Australia', '5 runs', 'Jan 19, 1982', 65333]
[1982, 'Australia', 'West Indies', 'Melbourne', 'ODI # 139', 'West Indies', '86 runs', 'Jan 23, 1982', 65334]
[1982, 'Australia', 'West Indies', 'Melbourne', 'ODI # 140', 'West Indies', '128 runs', 'Jan 24, 1982', 65335]
[1982, 'Australia', 'West Indies', 'Sydney', 'ODI # 141', 'Australia', '46 runs', 'Jan 26, 1982', 65336]
[1982, 'Australia', 'West Indies', 'Sydney', 'ODI # 142', 'West Indies', '18 runs', 'Jan 27, 1982', 65337]
[1982, 'India', 'England', 'Cuttack', 'ODI # 143', 'India', '5 wickets', 'Jan 27, 1982', 64182]
[1982, 'New Zealand', 'Australia', 'Auckland', 'ODI # 144', 'New Zealand', '46 runs', 'Feb 13, 1982', 64183]
[1982, 'Sri Lanka', 'England', 'Colombo (SSC)', 'ODI # 145', 'England', '5 runs', 'Feb 13, 1982', 64184]
[1982, 'Sri Lanka', 'England', 'Colombo (SSC)', 'ODI # 146', 'Sri Lanka', '3 runs', 'Feb 14, 1982', 64185]
[1982, 'New Zealand', 'Australia', 'Dunedin', 'ODI # 147', 'Australia', '6 wickets', 'Feb 17, 1982', 64186]
[1982, 'New Zealand', 'Australia', 'Wellington', 'ODI # 148', 'Australia', '8 wickets', 'Feb 20, 1982', 64187]
[1982, 'Pakistan', 'Sri Lanka', 'Karachi', 'ODI # 149', 'Pakistan', '8 wickets', 'Mar 12, 1982', 64188]
[1982, 'Pakistan', 'Sri Lanka', 'Lahore', 'ODI # 150', 'Sri Lanka', '30 runs', 'Mar 29, 1982', 64189]
[1982, 'Pakistan', 'Sri Lanka', 'Karachi', 'ODI # 151', 'Pakistan', '5 wickets', 'Mar 31, 1982', 64190]
[1982, 'England', 'India', 'Leeds', 'ODI # 152', 'England', '9 wickets', 'Jun 2, 1982', 64972]
[1982, 'England', 'India', 'The Oval', 'ODI # 153', 'England', '114 runs', 'Jun 4, 1982', 64973]
[1982, 'England', 'Pakistan', 'Nottingham', 'ODI # 154', 'England', '7 wickets', 'Jul 17, 1982', 64974]
[1982, 'England', 'Pakistan', 'Manchester', 'ODI # 155', 'England', '73 runs', 'Jul 19, 1982', 64975]
[1982, 'India', 'Sri Lanka', 'Amritsar', 'ODI # 156', 'India', '78 runs', 'Sep 12, 1982', 64191]
[1982, 'India', 'Sri Lanka', 'Delhi', 'ODI # 157', 'India', '6 wickets', 'Sep 15, 1982', 64192]
[1982, 'Pakistan', 'Australia', 'Hyderabad (Sind)', 'ODI # 158', 'Pakistan', '59 runs', 'Sep 20, 1982', 64193]
[1982, 'India', 'Sri Lanka', 'Bengaluru', 'ODI # 159', 'India', '6 wickets', 'Sep 26, 1982', 64194]
[1982, 'Pakistan', 'Australia', 'Lahore', 'ODI # 160', 'Pakistan', '28 runs', 'Oct 8, 1982', 64195]
[1982, 'Pakistan', 'Australia', 'Karachi', 'ODI # 161', 'Draw', 'Draw', 'Oct 22, 1982', 64196]
[1982, 'Pakistan', 'India', 'Gujranwala', 'ODI # 162', 'Pakistan', '14 runs', 'Dec 3, 1982', 64197]
[1982, 'Pakistan', 'India', 'Multan', 'ODI # 163', 'Pakistan', '37 runs', 'Dec 17, 1982', 64198]
[1982, 'Pakistan', 'India', 'Lahore', 'ODI # 164', 'India', '18 runs', 'Dec 31, 1982', 64199]
[1983, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 165', 'Australia', '8 wickets', 'Jan 9, 1983', 65338]
[1983, 'Australia', 'England', 'Sydney', 'ODI # 166', 'Australia', '31 runs', 'Jan 11, 1983', 65339]
[1983, 'England', 'New Zealand', 'Melbourne', 'ODI # 167', 'New Zealand', '2 runs', 'Jan 13, 1983', 65340]
[1983, 'England', 'New Zealand', 'Brisbane', 'ODI # 168', 'England', '54 runs', 'Jan 15, 1983', 65341]
[1983, 'Australia', 'England', 'Brisbane', 'ODI # 169', 'Australia', '7 wickets', 'Jan 16, 1983', 65342]
[1983, 'Australia', 'New Zealand', 'Sydney', 'ODI # 170', 'New Zealand', '47 runs', 'Jan 18, 1983', 65343]
[1983, 'England', 'New Zealand', 'Sydney', 'ODI # 171', 'England', '8 wickets', 'Jan 20, 1983', 65344]
[1983, 'Pakistan', 'India', 'Karachi', 'ODI # 172', 'Pakistan', '8 wickets', 'Jan 21, 1983', 64200]
